Date,Target Name,Target Industry Sector,"Target
Nation",Acquiror Name,Acquiror Industry Sector,"Acquiror
Nation","%
of
Shares
Acq.","%
Owned
After
Trans-
action","Value
of
Transaction
($mil)","Acquiror
Ticker
Symbol","Target
Ticker
Symbol","Acquiror
Datastream
Code","Target
Datastream
Code"
10.01.00,Atlantic Scientific(Bowthorpe),Electronic and Electrical Equipment,United States,MTL Instruments Group PLC,"Measuring, Medical, Photo Equipment; Clocks",United Kingdom,100.00,100.0,6.50,MTI,,943535,
10.01.00,B I Technologies Corp,Wholesale Trade-Durable Goods,United States,TT Group PLC,Machinery,United Kingdom,100.00,100.0,65.00,TTR,,901830,
10.01.00,Flexcom NV,Educational Services,Belgium,Azlan Group Ltd,Business Services,United Kingdom,100.00,100.0,3.049,AZL,,312760,
10.01.00,Pangaea Ltd,Business Services,United Kingdom,Compel Group PLC,Business Services,United Kingdom,100.00,100.0,17.39,CGR,,136631,
04.02.00,Contac Software Engineering,Prepackaged Software,Singapore,Rolfe & Nolan PLC,Business Services,United Kingdom,100.00,100.0,25.757,ROLF,,991081,
19.04.01,"Esat Digifone(Esat,Telenor)",Communications Equipment,Ireland-Rep,British Telecommunications PLC,Telecommunications,United Kingdom,49.50,100.0,",1239.183","BTE
BTY",,900888,
12.04.00,Pegasus Group PLC,Wholesale Trade-Durable Goods,United Kingdom,Freecom.net PLC,Business Services,United Kingdom,100.00,100.0,88.574,,PGGL,278620,974604
18.02.00,Best Software Inc,Prepackaged Software,United States,Sage Group PLC,Prepackaged Software,United Kingdom,100.00,100.0,446.263,SGE,BEST,904649,878878
12.01.00,CBSH Ltd,Business Services,United Kingdom,City of London PR Group PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,7.50,49.9,,CILL,,943863,
12.01.00,DSLogic-DSNet(DS Data Systems),Business Services,Italy,Cable & Wireless PLC,Telecommunications,United Kingdom,100.00,100.0,13.00,CW.,,,
14.03.00,Ginger Media Group,Motion Picture Production and Distribution,United Kingdom,Scottish Media Group PLC,Radio and Television Broadcasting Stations,United Kingdom,100.00,100.0,370.643,STVA,,902402,
12.01.00,Jubii Auktion,Business Services,Denmark,QXL.com PLC,Miscellaneous Retail Trade,United Kingdom,100.00,100.0,10.904,"QXL
QXLC",,273818,
12.01.00,Motoresearch Inc,Business Services,United States,Aegis Group PLC,Advertising Services,United Kingdom,100.00,100.0,8.00,AGS,,917597,
13.01.00,Shanghai Yaohua Pilkington,"Stone, Clay, Glass, and Concrete Products",China,Pilkington PLC,"Stone, Clay, Glass, and Concrete Products",United Kingdom,8.35,16.7,5.918,PILK,"600819
900918",917163,143828
31.01.00,ISDnet (Cable & Wireless PLC),Business Services,France,Cable & Wireless PLC,Telecommunications,United Kingdom,100.00,100.0,,CW.,,,
14.01.00,Indigitale Ltd,Advertising Services,United Kingdom,L Gardner Group PLC,Business Services,United Kingdom,51.00,51.0,.327,LGD,,870194,
14.01.00,Lastminute.com,Transportation and Shipping (except air),United Kingdom,BAA PLC,Air Transportation and Shipping,United Kingdom,5.00,5.0,13.205,BAA,,,288853
14.01.00,NPE Precision Toolroom Ltd,Machinery,United Kingdom,Howle Holding PLC,Metal and Metal Products,United Kingdom,100.00,100.0,2.182,HOH,,888447,
31.01.00,Online Group Holdings PLC,Prepackaged Software,United Kingdom,Alphameric Solutions Ltd,Prepackaged Software,United Kingdom,100.00,100.0,27.554,ALM,,,
14.01.00,"S,C,P,F",Business Services,Spain,WPP Group PLC,Advertising Services,United Kingdom,30.00,30.0,,WPPGY,,926119,
17.01.00,Acutek International Inc,"Measuring, Medical, Photo Equipment; Clocks",United States,Scapa Group PLC,Chemicals and Allied Products,United Kingdom,100.00,100.0,27.00,SCPA,,901250,
17.01.00,Aerial Camera Systems Ltd,"Measuring, Medical, Photo Equipment; Clocks",United Kingdom,Durlacher Corp PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,25.10,25.1,1.436,DUC.L,,870904,
17.01.00,DVMB AG,Business Services,Germany,ECsoft Group PLC,Business Services,United Kingdom,100.00,100.0,14.937,"ECS
ECSGY",,681683,
17.01.00,Davidson Plastics,Rubber and Miscellaneous Plastic Products,United States,Bunzl PLC,Transportation and Shipping (except air),United Kingdom,100.00,100.0,,"BNL
BNZL",,901067,
17.03.00,Druid Group PLC,Business Services,United Kingdom,FI Group PLC,Prepackaged Software,United Kingdom,100.00,100.0,",1094.143",FI,DRD,319863,882461
10.02.00,EMC Technology,Electronic and Electrical Equipment,United States,Smiths Industries PLC,Electronic and Electrical Equipment,United Kingdom,100.00,100.0,42.15,SMIX,,900943,
28.03.00,GTE CyberTrust Solutions Inc,Business Services,United States,Baltimore Technologies PLC,Prepackaged Software,United Kingdom,100.00,100.0,150.00,"BALT
BLM",,29055T,
17.01.00,International Car Rental,Repair Services,Netherlands,Avis Europe PLC,Repair Services,United Kingdom,66.70,100.0,9.606,AVE,,25508V,
17.01.00,Lab Furnishings(AAF Industr),"Measuring, Medical, Photo Equipment; Clocks",United Kingdom,Hartest Holdings PLC,"Measuring, Medical, Photo Equipment; Clocks",United Kingdom,100.00,100.0,.816,HTH,,690658,
17.01.00,Percom Networks Inc,Business Services,United States,Invensys PLC,"Measuring, Medical, Photo Equipment; Clocks",United Kingdom,,,,ISYS,,905110,
17.01.00,Rawlings Refrigeration Ltd,Business Services,United Kingdom,Dawsongroup PLC,Repair Services,United Kingdom,100.00,100.0,6.948,DWG,,953234,
17.01.00,Scottish Motorcycle Show,Amusement and Recreation Services,United Kingdom,Emap PLC,"Printing, Publishing, and Allied Services",United Kingdom,100.00,100.0,,EMA,,910283,
17.01.00,Shire PR & Marketing Ltd,Amusement and Recreation Services,United Kingdom,Emap PLC,"Printing, Publishing, and Allied Services",United Kingdom,100.00,100.0,,EMA,,910283,
27.12.00,SmithKline Beecham PLC,Drugs,United Kingdom,Glaxo Wellcome PLC,Drugs,United Kingdom,100.00,100.0,",75960.847",GLX,"SBH
SBH",900479,900517
17.01.00,Wright & Beyer Ltd,Transportation Equipment,United Kingdom,Cammell Laird Holdings PLC,Transportation Equipment,United Kingdom,59.00,59.0,,,,898072,
18.01.00,Belgravia Internet Productions,Business Services,United Kingdom,Arthur Shaw & Co PLC,Wholesale Trade-Durable Goods,United Kingdom,100.00,100.0,5.998,SAW,,943747,
18.01.00,e-Rewards Inc,Business Services,United States,WPP Group PLC,Advertising Services,United Kingdom,20.00,20.0,5.00,WPPGY,,926119,
05.09.00,Film Consortium Ltd,Motion Picture Production and Distribution,United Kingdom,WhiteCliff Film and Television,Motion Picture Production and Distribution,United Kingdom,100.00,100.0,,,,136902,
18.01.00,IntelliFlo Ltd,Prepackaged Software,United Kingdom,Inter-Alliance PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,46.00,97.0,.249,,,671927,
18.01.00,Intracus Ltd,Business Services,United Kingdom,Helphire Group PLC,Repair Services,United Kingdom,13.30,13.3,3.274,HHR,,888583,
18.01.00,"Rexregal Ltd,Susan Barry",Textile and Apparel Products,United Kingdom,UK Safety PLC,"Measuring, Medical, Photo Equipment; Clocks",United Kingdom,100.00,100.0,.589,,,901763,
19.01.00,Allied Builders Merchants,Wholesale Trade-Durable Goods,United Kingdom,Travis Perkins PLC,Wholesale Trade-Durable Goods,United Kingdom,100.00,100.0,,TPK,,931669,
19.01.00,Baseline Building Supplies,Wholesale Trade-Durable Goods,United Kingdom,Travis Perkins PLC,Wholesale Trade-Durable Goods,United Kingdom,100.00,100.0,,TPK,,931669,
09.08.00,Bickerton Group PLC,Construction Firms,United Kingdom,Artisan(UK)PLC,Real Estate; Mortgage Bankers and Brokers,United Kingdom,100.00,100.0,12.799,ART,BCK,690387,888689
01.03.00,Broombys Ltd,Miscellaneous Retail Trade,United Kingdom,Travis Perkins PLC,Wholesale Trade-Durable Goods,United Kingdom,100.00,100.0,32.039,TPK,,931669,
19.01.00,Imperial Power PLC,"Electric, Gas, and Water Distribution",United Kingdom,MMT Computing PLC,Business Services,United Kingdom,23.60,23.6,1.704,MMTL,,282353,
19.01.00,Joysoft fuer Hard und Software,Miscellaneous Retail Trade,Germany,Gameplay.com PLC,Business Services,United Kingdom,100.00,100.0,5.068,GAM.L,,270411,
31.01.00,Keith Harris Partnership Ltd,Business Services,United Kingdom,Talisman House PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,98.00,98.0,96.836,,,679580,
19.01.00,MMT Computing(Energy)Ltd,Prepackaged Software,United Kingdom,MMT Computing PLC,Business Services,United Kingdom,16.00,100.0,1.336,MMTL,,282353,
19.01.00,Ocean Communications Ltd,Telecommunications,Ireland-Rep,British Telecommunications PLC,Telecommunications,United Kingdom,50.00,100.0,212.809,"BTE
BTY",,900888,
19.01.00,Wessex Dairies-Milk Processing,Food and Kindred Products,United Kingdom,Unigate PLC,Food and Kindred Products,United Kingdom,100.00,100.0,1.808,UNIL,,900804,
21.01.00,"Bridgewater House,Manchester",Real Estate; Mortgage Bankers and Brokers,United Kingdom,Frogmore Estates PLC,Real Estate; Mortgage Bankers and Brokers,United Kingdom,100.00,100.0,20.776,FROL,,926156,
21.01.00,Wayward Design Ltd,Prepackaged Software,United Kingdom,Rage Software PLC,Prepackaged Software,United Kingdom,100.00,100.0,3.495,RGE,,907522,
21.01.03,Airtel SA,Telecommunications,Spain,Vodafone AirTouch PLC,Telecommunications,United Kingdom,8.40,100.0,",2707.823",VOD,,953133,
07.06.00,Co-op Holiday Hypermarkets,Transportation and Shipping (except air),United Kingdom,First Choice Holidays PLC,Transportation and Shipping (except air),United Kingdom,100.00,100.0,76.834,FCD,,,
24.01.00,EPS Ltd,Business Services,United Kingdom,Hays PLC,Business Services,United Kingdom,100.00,100.0,90.69,HAS,,901164,
02.03.00,MTL Services PLC,Transportation and Shipping (except air),United Kingdom,Arriva PLC,Transportation and Shipping (except air),United Kingdom,100.00,100.0,139.84,ARI,,914151,
24.01.00,SNE Systems,Business Services,United States,FKI PLC,Machinery,United Kingdom,100.00,100.0,40.00,FKI,,911384,
25.01.00,Ei System Computer(PC Holdgs),Retail Trade-Home Furnishings,Spain,Dixons Group PLC,Miscellaneous Retail Trade,United Kingdom,100.00,100.0,25.572,DXNS,,900906,
25.01.00,"Methodist Church,Buccleuch St",Miscellaneous Services,United Kingdom,Jd Wetherspoon PLC,Retail Trade-Eating and Drinking Places,United Kingdom,100.00,100.0,,JDW,,301861,
26.01.00,Evikhon,Oil and Gas; Petroleum Refining,Russian Fed,Sibir Energy PLC,Oil and Gas; Petroleum Refining,United Kingdom,62.00,82.0,,SBE,,888732,
26.01.00,Oxford May Day Ball,Amusement and Recreation Services,United Kingdom,Mezzanine Group PLC,Retail Trade-Eating and Drinking Places,United Kingdom,100.00,100.0,.37,,,904321,
31.12.00,Travelstore.com Ltd,Transportation and Shipping (except air),United Kingdom,NewMedia Spark PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,,,1.639,NMS,,275886,
26.01.00,Ugraneft(Sibir Energy PLC),Oil and Gas; Petroleum Refining,Russian Fed,Sibir Energy PLC,Oil and Gas; Petroleum Refining,United Kingdom,39.20,69.2,,SBE,,888732,
26.01.00,Value Management & Research AG,"Investment & Commodity Firms,Dealers,Exchanges",Germany,JellyWorks PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,20.40,20.4,35.768,JLY,VMR,282050,688160
27.01.00,Belcolor AG Flooring,"Stone, Clay, Glass, and Concrete Products",Switzerland,Headlam Group PLC,Wholesale Trade-Durable Goods,United Kingdom,100.00,100.0,9.996,HEAD,,910395,
27.01.00,Bellevue Hotel,Hotels and Casinos,Spain,Airtours PLC,Transportation and Shipping (except air),United Kingdom,100.00,100.0,101.671,AIRN,,,
27.01.00,Broker-to-Broker Networks Inc,Business Services,United Kingdom,Energis PLC,Telecommunications,United Kingdom,30.00,30.0,12.29,"EGS-LS
ENGSY",,25512Q,
27.01.00,"Cairo Jacks,Slap Harry's",Retail Trade-Eating and Drinking Places,United Kingdom,Chorion PLC,Amusement and Recreation Services,United Kingdom,100.00,100.0,4.227,COR,,137553,
27.01.00,Comair Ltd,Air Transportation and Shipping,South Africa,British Airways PLC,Air Transportation and Shipping,United Kingdom,18.30,18.3,27.233,"BAB
BAY",COM,914447,683306
27.01.00,Eurogen Systems Ltd,Prepackaged Software,United Kingdom,Oxford Technology Vct PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,14.97,36.2,.123,OXT,,962132,
27.01.00,Scottish Knowledge Plc,Educational Services,United Kingdom,News International PLC,"Printing, Publishing, and Allied Services",United Kingdom,25.00,25.0,5.735,NWSL,,901103,
27.01.00,Vokes Filtration(Invensys PLC),Machinery,United Kingdom,McLeod Russel Holdings PLC,Real Estate; Mortgage Bankers and Brokers,United Kingdom,100.00,100.0,17.205,MLRL,,926058,
23.05.00,Flextech PLC,Motion Picture Production and Distribution,United Kingdom,Telewest Communications PLC,Radio and Television Broadcasting Stations,United Kingdom,100.00,100.0,",3699.702","TWSTY
TWT",FLXT,135090,931621
28.01.00,Hexel International Ltd,Drugs,United Kingdom,Peter Black Holdings PLC,Rubber and Miscellaneous Plastic Products,United Kingdom,100.00,100.0,31.459,BKPL,,926365,
28.01.00,9000 Ltd(Financial Objects),Prepackaged Software,United Kingdom,Financial Objects PLC,Prepackaged Software,United Kingdom,50.00,100.0,.811,FIO,,690410,
28.01.00,One NorthEast-Ind'l Est(10),Real Estate; Mortgage Bankers and Brokers,United Kingdom,Ashtenne Holdings PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,100.00,100.0,27.035,AHH,,897708,
14.03.00,Real Time Control PLC,Business Services,United Kingdom,NSB Retail Systems PLC,Prepackaged Software,United Kingdom,100.00,100.0,120.893,NSB,RTC/,865221,911896
22.03.00,Semara Holdings PLC,Personal Services,United Kingdom,Johnson Service Group PLC,Personal Services,United Kingdom,100.00,100.0,154.945,JSG,SKCH,901167,901169
31.01.00,Ampac Inc,"Printing, Publishing, and Allied Services",United States,Critchley Group PLC,Rubber and Miscellaneous Plastic Products,United Kingdom,100.00,100.0,4.30,CTY,,301916,
31.01.00,Armstrong Technology Ltd,Business Services,United Kingdom,Babcock International Group,Business Services,United Kingdom,100.00,100.0,,BABK,,900552,
31.01.00,Flowlyne Ltd,Electronic and Electrical Equipment,United Kingdom,Critchley Group PLC,Rubber and Miscellaneous Plastic Products,United Kingdom,100.00,100.0,3.23,CTY,,301916,
31.01.00,Hazelwood Enterprises,Miscellaneous Retail Trade,United States,WH Smith Group PLC,Miscellaneous Retail Trade,United Kingdom,100.00,100.0,19.00,WHSHF,,901215,
31.01.00,Holst Excavating Inc,Construction Firms,United States,Aggregate Industries PLC,Mining,United Kingdom,100.00,100.0,,AGG,,903357,
31.01.00,Image Scan NV,Electronic and Electrical Equipment,Netherlands,Critchley Group PLC,Rubber and Miscellaneous Plastic Products,United Kingdom,50.00,100.0,3.081,CTY,,301916,
31.01.00,LEA International Inc,Electronic and Electrical Equipment,United States,Smiths Industries PLC,Electronic and Electrical Equipment,United Kingdom,100.00,100.0,11.00,SMIX,,900943,
31.01.00,Metallogravure SA,"Printing, Publishing, and Allied Services",France,Critchley Group PLC,Rubber and Miscellaneous Plastic Products,United Kingdom,100.00,100.0,1.701,CTY,,301916,
31.01.00,Michigan Colprovia Company,Construction Firms,United States,Aggregate Industries PLC,Mining,United Kingdom,100.00,100.0,,AGG,,903357,
31.01.00,ObjectShare-European Ops,Computer and Office Equipment,Germany,Valtech SE,Business Services,United Kingdom,100.00,100.0,,LTE,,692779,
31.01.00,Proactive Interactive Ltd,Business Services,United Kingdom,GiroVend Cashless Systems PLC,Machinery,United Kingdom,100.00,100.0,1.951,,,888478,
31.01.00,Scholz & Friends GmbH,Advertising Services,Germany,Cordiant Communications Group,Advertising Services,United Kingdom,10.00,100.0,4.266,"CDA
CRI",,926751,295909
31.01.00,"Mobilcrete,Sioux Valley Ready",Mining,United States,Aggregate Industries PLC,Mining,United Kingdom,100.00,100.0,,AGG,,903357,
01.02.00,BASF Pharma-Collagenase,Drugs,United Kingdom,Smith & Nephew PLC,"Measuring, Medical, Photo Equipment; Clocks",United Kingdom,100.00,100.0,119.517,"SN
SNN",,900487,
01.02.00,French Thornton Partnership,Business Services,United Kingdom,ITNET PLC,Prepackaged Software,United Kingdom,100.00,100.0,24.629,ITN,,681135,
01.02.00,Like Dat Music Inc,Business Services,United States,Cyberscience PLC,Prepackaged Software,United Kingdom,100.00,100.0,,,,,
17.03.00,Nexus Media Communications,"Printing, Publishing, and Allied Services",United Kingdom,Highbury House Communications,"Printing, Publishing, and Allied Services",United Kingdom,100.00,100.0,65.181,HHO,,928673,
01.02.00,North Shoe Ltd,Retail Trade-General Merchandise and Apparel,United Kingdom,Brown & Jackson PLC,Retail Trade-General Merchandise and Apparel,United Kingdom,100.00,100.0,36.984,BRJK,,917570,
31.03.00,SCA Tobacco Corp(Sumitomo),Wholesale Trade-Nondurable Goods,Japan,British American Tobacco PLC,Tobacco Products,United Kingdom,100.00,100.0,93.06,"BAT
BTI",,901295,
30.04.00,Scottish & Newcastle-Pubs(481),Retail Trade-Eating and Drinking Places,United Kingdom,Royal Bank of Scotland Group,"Commercial Banks, Bank Holding Companies",United Kingdom,100.00,100.0,290.70,RBOS,,901450,
01.02.00,Shopcreator Developments Ltd,Business Services,United Kingdom,Daily Mail & General Trust PLC,"Printing, Publishing, and Allied Services",United Kingdom,20.00,20.0,,DMGT,,910716,
01.02.00,Sportal Ltd,Prepackaged Software,United Kingdom,British Sky Bdcstg Grp PLC,Radio and Television Broadcasting Stations,United Kingdom,5.40,5.4,,"BSY
BSY
BSYBY",,135116,
01.02.00,TriPoint Inc,Oil and Gas; Petroleum Refining,United States,Expro International Group PLC,Oil and Gas; Petroleum Refining,United Kingdom,100.00,100.0,35.00,EXR,,135206,
01.02.00,Wheatcroft Garden Centre,Miscellaneous Retail Trade,United Kingdom,NWF Group PLC,Food and Kindred Products,United Kingdom,100.00,100.0,,NWF,,307411,
02.02.00,Marine & Management Services,Transportation and Shipping (except air),United Kingdom,Hurlingham Properties PLC,Real Estate; Mortgage Bankers and Brokers,United Kingdom,100.00,100.0,.748,HRL,,870816,
02.02.00,Murdoch Magazine-New Woman,"Printing, Publishing, and Allied Services",Australia,Emap PLC,"Printing, Publishing, and Allied Services",United Kingdom,100.00,100.0,,EMA,,910283,
02.02.00,Retail Pharmacies(6),Miscellaneous Retail Trade,United Kingdom,Alliance UniChem PLC,Wholesale Trade-Nondurable Goods,United Kingdom,100.00,100.0,7.106,"AUN
AUN",,928889,
05.04.00,Seton Scholl Japan Ltd,"Measuring, Medical, Photo Equipment; Clocks",Japan,SSL International PLC,"Measuring, Medical, Photo Equipment; Clocks",United Kingdom,49.00,100.0,8.311,SSL,,914579,
03.02.00,"Aldermary House,Queen Street,",Real Estate; Mortgage Bankers and Brokers,United Kingdom,Frogmore Estates PLC,Real Estate; Mortgage Bankers and Brokers,United Kingdom,100.00,100.0,29.231,FROL,,926156,
03.02.00,Celina Holdings Ltd,Real Estate; Mortgage Bankers and Brokers,Gibraltar,McKay Securities PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,100.00,100.0,16.559,MCKS,,911106,
24.02.00,Datanet Holdings Ltd,Business Services,United Kingdom,365 Corp PLC,Business Services,United Kingdom,100.00,100.0,49.975,TSF,,278763,
14.02.00,Oldham Estate Co PLC,Real Estate; Mortgage Bankers and Brokers,United Kingdom,MEPC PLC,Real Estate; Mortgage Bankers and Brokers,United Kingdom,.10,100.0,1.118,MEPC,,901603,906495
03.02.00,Smith & Jones Victuallers-(9),Retail Trade-Eating and Drinking Places,United Kingdom,Ambishus Pub Co PLC,Retail Trade-Eating and Drinking Places,United Kingdom,100.00,100.0,6.873,APY,,679668,
15.05.00,Adams Healthcare Ltd,Drugs,United Kingdom,Medical Solutions PLC,Business Services,United Kingdom,100.00,100.0,21.479,MLS,,914270,
04.02.00,Argent Insurance Practice Ltd,Insurance,United Kingdom,Cox Insurance Holdings Plc,Insurance,United Kingdom,100.00,100.0,,COX,,870195,
14.04.00,Ascom Banking Automation,Computer and Office Equipment,Switzerland,De La Rue PLC,"Printing, Publishing, and Allied Services",United Kingdom,100.00,100.0,9.668,DLAR,,901343,
04.02.00,"Business Centre,Wokingham",Real Estate; Mortgage Bankers and Brokers,United Kingdom,Brixton Estate PLC,Real Estate; Mortgage Bankers and Brokers,United Kingdom,100.00,100.0,14.336,BXTN,,901588,
31.03.00,Creston PLC-Property Portfolio,Real Estate; Mortgage Bankers and Brokers,United Kingdom,Ashtenne Holdings PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,100.00,100.0,60.378,AHH,,897708,
04.02.00,Manos(UK)Ltd,Transportation and Shipping (except air),United Kingdom,Airtours PLC,Transportation and Shipping (except air),United Kingdom,100.00,100.0,,AIRN,,,
07.02.00,Breedon PLC,Mining,United Kingdom,Ennstone PLC,Oil and Gas; Petroleum Refining,United Kingdom,6.24,6.2,3.545,ENN,BONL,910473,900393
04.04.00,CODA Group PLC(Baan Co NV),Prepackaged Software,United Kingdom,Science Systems Plc,Prepackaged Software,United Kingdom,100.00,100.0,49.993,SSY,,892921,361142
07.02.00,DSI,Business Services,Spain,Sema Group PLC,Business Services,United Kingdom,100.00,100.0,,SEM,,260319,
07.02.00,Driver Pack SA,Transportation and Shipping (except air),Spain,Hays PLC,Business Services,United Kingdom,100.00,100.0,,HAS,,901164,
07.02.00,DUN,Transportation and Shipping (except air),Spain,Hays PLC,Business Services,United Kingdom,100.00,100.0,,HAS,,901164,
07.02.00,MD Concept,Business Services,France,Hays PLC,Business Services,United Kingdom,100.00,100.0,,HAS,,901164,
07.02.00,Match Mail Productions Inc,Business Services,United States,West 175 Media Group Inc,Amusement and Recreation Services,United Kingdom,60.00,60.0,.36,WEP,,882027,
07.02.00,E Media SA,Business Services,Switzerland,Cable & Wireless PLC,Telecommunications,United Kingdom,100.00,100.0,3.00,CW.,,,
09.02.00,Nycomed Diagnostics,Drugs,Norway,Axis-Shield PLC,Drugs,United Kingdom,100.00,100.0,36.308,ASD.L,,323592,
07.02.00,Outrider Ltd(Tempus Group PLC),Advertising Services,United Kingdom,Tempus Group PLC,Advertising Services,United Kingdom,10.00,100.0,1.325,TSG,,904253,
